tidak_baku,kata_baku
paksakan,memaksakan
bungkus,bungkus
nasi,nasi
aplikasiselalu,aplikasi selalu
smssedangkan,pesan singkat sedangkan
forclose,penutupan
letter,surat
bcaga,BCA
penokan,penolakan
kemudianahk,kemudian ah
llg,lagi
mantappemakaian,pemakaian mantap
fihak,pihak
office,kantor
ndm,NDM
1jam,satu jam
baterai,baterai
salahbenar,salah benar
lemon,lemon
membantusayang,sangat membantu
ij,izin
mybcafin,myBCA FIN
digitallis,digital
myasiafansial,myAsia Financial
tidakmelihatorangtepukjidat,capek
kaliluar,keluar kali
tuhaaannini,Tuhan ini
ginih,begini
bignya,besar
anjirrrrr,anjir
msi,masih
cobali,cobalah
ngisinya,mengisinya
rusaksaya,rusak saya
berhasilsukses,berhasil sukses
kecilpantas,kecil pantas
apaansi,apaan sih
insudah,ini sudah
asyik,asyik
kyg,seperti
gopayshopeepaydana,GoPay ShopeePay Dana
komplitsemoga,komplit semoga
perbankna,perbankan
bisa2yg,bisa-bisa yang
punyaku,punyaku
mantabjoossss,mantap
mulupdhl,mulut padahal
knpknppesan,kenapa pesan
bisawajahsangatmarahwajahsangatmarahwajahsangatmarahwajahsangatmarahwajahsangatmarah,marah
akseswajahkonyol,akses wajah konyol
playlaterada,paylater ada
keteranganterjadi,keterangan terjadi
pakaikalau,pakai kalau
diblokirhadehhh,diblokir aduh
aktipin,aktifkan
dounlout,unduh
krj,kerja
dimna,di mana
kaktpi,kak tapi
thanksjempolkeatasmelipattangan,terima kasih
aidik,audit
danamon,Danamon
rekening500000,rekening lima ratus ribu
budisatriana,Budi Satriana
perwira,perwira
verifikasiakun,verifikasi akun
seusai,sesuai
banyakverifikasi,banyak verifikasi
capeeeeujung,capek ujung
ampunnnnnn,ampun
mbankingmybca,mobile banking myBCA
kacauuuuumau,kacau mau
jawabannyaaplikas,jawabannya aplikasi
•aplikasi,aplikasi
•sms,pesan singkat
•tolong,tolong
blubca,BCA Blue
bcaxpresi,BCA Xpresi
•terimakasih,terima kasih
terhormatnapa,terhormat kenapa
penangan,penanganan
berhub,berhubungan
digunakankarena,digunakan karena
wajahtidurwajahtidur,wajah tidur
loginn,masuk
edan,gila
disetting,diatur
respin,respon
nemuin,menemukan
wajahtersenyumdenganairmatabca,capek
kintil,kontol
dlusoaly,dulu soalnya
pertanggal,per tanggal
bcacepat,BCA cepat
dibagian,di bagian
teknisi,teknisi
kutanya,saya tanya
walawe,astaga
seng,yang penting
gilaaaa,gila
login²,masuk-masuk
rijeck,ditolak
bulandi,bulan di
lagidri,lagi dari
tgl11,tanggal sebelas
pengajuanblum,pengajuan belum
penginputan,penginputan
dialamat,di alamat
terkahir,terakhir
ahmad,nama nasabah
ikbal,nama nasabah
outline,garis besar
parasit,parasit
kuatsemua,kuat semua
wajahkepanasanwajahkepanasanwajahkepanasanwajahkepanasanwajahkepanasan,marah
otpwajahkedinginanwajahkedinginanwajahkedinginanwajahkedinginanwajahkedinginan,capek
apo,apa
dio,dia
nyasdh,tidak
kaly,kali
lantak,biarkan
nyo,nya
dulujujur,dulu jujur
puluh×,puluh kali
gratiswajahmarah,marah
tidqk,tidak
wajahnyaa,wajahnya
aktivasilama2,aktivasi lama-lama
programer,programmer
bangetsekelas,banget sekelas
membantuuntuk,membantu untuk
57x,lima puluh tujuh kali
susan,nama nasabah
prosesnyailangin,prosesnya hilangkan
muluh,mulut
klikjempolkebawah,tidak suka
1aplikasinya,satu aplikasinya
dikonfirm,dikonfirmasi
dominan,dominan
finalisasi,finalisasi
checklist,daftar periksa
csonya,customer service
telephone,telepon
diberitahu,diberitahu
kdang,kadang
miar,biar
mengeceknya,mengeceknya
perguna,pengguna
pokonamah,pokoknya
c,si
ngalamiin,mengalami
bnr²,benar-benar
biodata,biodata
melaui,melalui
emailpdahal,email padahal
jelaslogin,jelas masuk
smsmenghubungkan,pesan singkat menghubungkan
smshabis,pesan singkat habis
benardiulang²,benar diulang-ulang
ajangabisin,saja menghabiskan
gabisa²,tidak bisa-bisa
dibuatkan,dibuatkan
ngabisain,menghabiskan
gagh,gagal
data2nya,data-datanya
cssudah,CS sudah
bisabca,bisa BCA
barjalan,berjalan
leway,lewat
payrool,payroll
seumur2,seumur hidup
fiturcatatan,fitur catatan
hayo,ayo
bagustampilan,bagus tampilan
sihgimana,sih bagaimana
sjbiar,saja biar
nyamannya,nyamannya
duniawajahberkedipwajahberkedipwajahberkedipwajahberkedipwajahberkedipwajahberkedip,oke
loyal,loyal
susahkatanya,susah katanya
smsselalu,pesan singkat selalu
gagaluda,gagal sudah
lahsinyal,lah sinyal
bugsama,bug sama
marah2,marah-marah
kebaca,terbaca
ribetndftr,ribet daftar
lampunya,lampunya
barubaru,baru-baru
mendatangkan,mendatangkan
kepercayaan,kepercayaan
pekerja,pekerja keras
keras,pekerja keras
bongkar,bongkar
hadeuhh,aduh
imput,input
karen,karena
ceklek,klik
sejelas,sejelas
hadapkan,menghadapkan
pulsasetiap,pulsa setiap
ngetiknya,mengetiknya
tuhwajahtersenyumdenganairmatawajahterlalulelahwajahterlalulelahwajahterlalulelah,menyesal
wajahsangatmarahwajahsangatmarahwajahsangatmarahwajahsangatmarah,marah
tiktok,aplikasi sosial media
pnbppenerimaan,penerimaan pajak
luncurin,mengeluarkan
benderaindonesiawanitamengenakanserbanwarnakulitcerahtangandiangkatdandirapatkanbersamamelipattangantangandiangkatdandirapatkanbersamawanitamengenakanserbanwarnakulitcerahbenderaindonesia,biasa saja
adehh,aduh
terjdi,terjadi
menitan,menit
terushabis,terus habis
5rbu,lima ribu
rejeki,rejeki
dubuka,dibuka
cengtang,centang
menyebalkansudah,menyebalkan sudah
ehhhkeblokir,eh keblokir
penyelesaiannyahapus,penyelesaiannya hapus
permasalahnburuk,permasalahan buruk
miui,MIUI
dulubikin,dulu bikin
kantorgak,kantor tidak
mobilepadahal,mobile padahal
cam,kamera
nyapas,kenapa pas
bootlop,bootloop
slowrespon,respon lambat
bungaaasss,bunga
menitwajahdenganmatakeatas,pusing
pertipikasi,sertifikasi
amsmales,sangat malas
makenyajuga,memakainya juga
begitugak,begitu juga
joos,mantap
iijii,izin
wajahtidur,capek
sett,set
pinpass,pin sandi
terlah,terlalu
laman,halaman
yailah,ya Allah
gbsa2,tidak bisa-bisa
ajeeee,saja
onlinebiar,online biar
folder,folder
tauuang,tahu uang
manadi,mana di
kehadir,kehadiran
mybcaterimaksih,myBCA terima kasih
diperangkatt,di perangkat
haeduh,aduh
bginisuruh,begini suruh
benerinlah,benarkan lah
bcamelipattanganjempolkeatasjempolkeatas,suka
jempolkeataswarnakulitcerahjempolkeataswarnakulitcerah,suka
habisrekening,habis rekening  
dapur,dapur  
diwaktu,di waktu  
mnggunakn,menggunakan  
anjingg,anjing  
evoucher,e-voucher  
yap,ya  
lancarsudah,lancar sudah  
keci,kecil  
s20fe,Samsung S dua puluh Fan Edition  
xiaomi,Xiaomi  
fc,Face Cam
emaile,email  
tololpadahal,tolol padahal  
ulangdan,ulang dan  
lagingemis,lagi menangis  
tetaptandasilang,tetap tanda silang  
tandasilangverifikasi,tanda silang verifikasi  
uy,hai
weh,weh  
terikirimkacau,terkirim kacau  
susahregistrasi,susah registrasi  
habisss,habis  
pend,pendaftaran  
verifikasiujung²,verifikasi ujung-ujungnya  
rekeningmutasi,rekening mutasi  
search,cari  
kencengan,kencang  
rupa,rupa  
brengseekk,brengsek  
inipas,ini pas  
kecil2,kecil-kecil  
kebanyakkan,kebanyakan  
trfnya,transfernya  
kontolllllllllllllll,kontol  
identifikasi,identifikasi  
terus2anudh,terus-terus sudah  
benerhari,benar hari  
sia2ribettttttt,sia-sia ribet  
bwat,buat  
updatewajahmenangiskeras,sedih
kd,kode  
plntoken,token PLN  
pnjem,pinjaman  
paylatenyako,paylaternya kok  
mintak,minta  
nyushin,menyusahkan  
pngenalan,pengenalan  
kmdian,kemudian  
pinjamannya,pinjamannya  
begoo,bodoh  
mantuljempolkeatasjempolkeatasjempolkeatas,mantap
aplikaainya,aplikasinya  
melulusialan,melulusi alan  
gatauu,tidak tahu  
thxuu,terima kasih  
sbnrnya,sebenarnya  
jringan,jaringan  
memfinalisasi,memfinalisasi  
saatorangmembungkukmelipattangan,capek
lahbulan,lah bulan  
upd,update  
rencana,rencana  
rec,rekaman  
lainsudah,lain sudah  
jelaa,jelas  
urusan2,urusan-urusan  
450k,empat ratus lima puluh ribu  
fiturx,fiturnya  
kalender,kalender  
trsssssss,terus  
duitt,duit  
herannn,heran  
dehgercep,deh gercep  
fungsionalitas,fungsionalitas  
nyajempolkeatasjempolkeatasjempolkeatasjempolkeatas,suka
ambo,saya
kecil²,kecil-kecil  
perih,perih  
liatnya,lihatnya  
khawatirkan,khawatirkan  
bayartransfer,bayar transfer  
mmbuat,membuat  
segalaa,segala  
umumnya,umumnya  
dongmasak,dong masak  
bula,bulan  
kwlitas,kualitas  
kacauuu,kacau  
henteu,tidak  
nyieun,membuat  
berahir,berakhir  
alhamddulilah,alhamdulillah  
uwang,uang  
wajahmerenungwajahmerenung,sedih
dulukenapa,dulu kenapa  
tolakterima,tolak terima  
whatsappgmail,WhatsApp Gmail  
okeh,oke  
tambhkan,tambahkan  
menjadwalkan,menjadwalkan  
sekalipun,sekalipun  
altif,aktif  
duahati,dua hati  
pgn,ingin  
tmbahin,tambahkan  
wajahberkacamatahitamwajahberkacamatahitamwajahberkacamatahitamwajahberkacamatahitam,keren
gunainnya,menggunakannya  
updeat,pembaruan  
skaliiii,sekali  
kuning,kuning  
memperlancar,memperlancar  
yakasian,ya kasihan  
jeda,jeda  
diwajibkan,diwajibkan  
buwat,buat  
menemui,menemui  
bcajuga,BCA juga  
tolakgk,tolak tidak  
accku,akun saya  
tolongdong,tolong dong  
adminny,adminnya  
kaliwajahsangatmarah,marah
capekk,capek  
orangtepukjidatjempolkebawah,capek
keuntungan,keuntungan  
pesawathotelbliblicomkado,pesawat hotel Blibli dot com kado  
ucapandllmybca,ucapan dan lain-lain myBCA  
memulih,memulihkan  
terbelokirtapi,terblokir tapi  
pulih,pulih  
terbelokirkenapa,terblokir kenapa  
demikiantolong,demikian tolong  
cellular,seluler  
bermasalahwajahmenangiskeraswajahmenangiskeraswajahmenangiskeraswajahmenangiskeras,menyesal
wajahkepanasanwajahtersenyumsombongtertawaterbahakbahak,biasa saja
baih,baik  
perlahan,perlahan  
berkedok,berkedok  
amit²,amit-amit  
kapitalis,kapitalis  
trbesar,terbesar  
kcu,KCU  
11rb,sebelas ribu  
hacker,peretas  
milyard,miliar  
bayamgin,bayam gin  
cairkan,cairkan  
ceknya,cek nya  
hack,meretas  
toeble,tubel  
mantapberguna,mantap berguna  
gagaludah,gagal sudah  
5xsangat,lima kali sangat  
merepotkannunggu,merepotkan menunggu  
bagustp,bagus tapi  
terimanya,terimanya  
pokoejempolkeatasjempolkeatas,suka
sejahterah,sejahtera  
saatregistrasi,saat registrasi  
tolongperbaiki,tolong perbaiki  
jloss,lolos  
biang,biang  
embeking,membeking  
gayaan,gaya-gayaan  
satukenapa,satu kenapa  
apkmbcahallobcamybcakan,aplikasi myBCA halo BCA myBCA kan  
semuatoh,semua  
bedatransfertariksetorcek,beda transfer tarik setor cek  
saldobelanja,saldo belanja  
important,penting  
trimkasi,terima kasih  
kopi,kopi  
kenangan,kenangan  
setoran,setoran  
klise,klise  
sussahnya,susahnya  
progresnya,progresnya  
siang²,siang-siang  
30menitan,tiga puluh menitan  
benernya,benarnya  
baguscm,bagus cuma  
pastilah,pastilah  
maurepot,mau repot  
perpesanan,perpesanan  
danashoopepay,dana ShopeePay  
dllsupaya,dan lain-lain supaya  
lagikalo,lagi kalau  
tlf,telepon  
personal,personal  
assisten,asisten  
yha,ya  
memuaskanketika,memuaskan ketika  
cepatramah,cepat ramah  
mengarahkan,mengarahkan  
notabene,notabene  
ketidaktahuan,ketidaktahuan  
nasabahpokol,nasabah pokok  
lgkap,lengkap  
cupu,cupu  
bgttrus,banget terus  
menuyyg,menu yang  
satupunpulsa,satupun pulsa  
kecewasudah,kecewa sudah  
baheula,zaman dahulu  
cpat,cepat  
ditmbahin,ditambahin  
dignti,diganti  
terbaiks,terbaik  
sekalisimpel,sekali simpel  
persetujuannya,persetujuannya  
tumben2an,tumben-tumbenan  
doangtapi,doang tapi  
ngaitin,mengaitkan  
alasannyasudah,alasannya sudah  
ida3,ida tiga  
kehubunganeh,kehubungan aneh  
lengkapmasih,lengkap masih  
menggandakan,menggandakan  
titiknya,titiknya  
camenya,kameranya  
terdeketsi,terdeteksi  
duakali,dua kali  
bertan,bertanya  
tegas,tegas  
dalammelayani,dalam melayani  
drama,drama  
tekorrr,tekor  
masukwajahlega,masuk wajah lega  
gemagus,gemas bagus  
lan,lan  
dumeh,karena  
musik,musik  
yutob,YouTube  
brimoparah,Brimo parah  
wahhh,wah  
benerudh,benar sudah  
vangke,kasar  
transaksiwajahtersenyumdengan3hatiwajahtersenyumdengan3hati,suka
depelover,pengembang  
atao,atau  
1100sms,seribu seratus pesan singkat
dam,dam  
parword,kata sandi  
gagalpadahal,gagal padahal  
parahmau,parah mau  
teruspulsa,terus pulsa  
meang,memang  
dipersulitlah,dipersulit lah  
gjo,kerja bagus  
ec,sertifikat elektronik
butuhan,kebutuhan  
sarana,sarana  
aplikasisemoga,aplikasi semoga  
ribetkan,meribetkan  
sblmny,sebelumnya  
bcamobilecek,BCA Mobile cek  
nsk,notifikasi  
riwayattp,riwayat tetapi  
lmbt,lambat  
msknyabaru,masuknya baru  
heitidak,hei tidak  
atmminta,ATM minta  
kerabat,kerabat  
isikan,isikan  
jmlh,jumlah  
brilliant,brilian  
pnbpmpn,PNBP MPN  
g2,generasi dua  
mudah2x,mudah-mudahan  
seengak,seenggaknya  
penipuansudah,penipuan sudah  
wajahmenyeringai,senang
tokope,Tokopedia  
tolaksaya,tolak saya  
sebwlumnya,sebelumnya  
daftarpastikan,daftar pastikan  
ditarik,ditarik  
gagal³,gagal-gagal  
teruspdhl,terus padahal  
begal,perampokan  
baru2,baru-baru  
50rbuan,lima puluh ribuan  
col,panggilan  
kedetek,terdeteksi
terusssdah,terus sudah
analisis,analisis
okrex,oke
sial,sial
menipu,menipu
enggk,enggak
aktif2,aktif-aktif
lemotmuter,lemot muter
terusmengecewakan,terus mengecewakan
kebutuhn,kebutuhan
lamaleletbikin,lama lelet bikin
mbngking,membingungkan
lumyan,lumayan
elktp,e-KTP
nyet,nyet
anjingggg,anjing
dhh,dah
berbulan2,berbulan-bulan
muluuuu,melulu
nyetttt,nyet
sanggup,sanggup
sewa,sewa
mahalan,mahal
lahhhh,lah
byebye,bye-bye
ngertii,ngerti
ngendap,mengendap
18rb,18 ribu
kurangin,kurangi
lob,lob
1bulan,1 bulan
verifaksi,verifikasi
nikmat,nikmat
responsnya,responsnya
tau²,tahu-tahu
ginidi,gini
muamalat,muamalah
trading,trading
sekunder,sekunder
menentu,menentu
berubahubah,berubah-ubah
penutupannya,penutupannya
bei,BEI
ikutidan,ikuti dan
aktivasikecewa,aktivasi kecewa
layan,layanan
bintangny,bintangnya
sengat,sangat
menbatua,membatu
wajahdenganmataberbentukbintangwajahdenganmataberbentukbintangwajahdenganmataberbentukbintangwajahdenganmataberbentukbintangwajahdenganmataberbentukbintang,gembira
provisioning,provisioning
oy,oi
ngrepotin,merepotkan
cesy,cesy
cabangdi,cabang di
menyelak,menyela
pembicaraan,pembicaraan
intonasi,intonasi
menyepelekan,menyepelekan
lawan,lawan
satpam,satpam
sajawajahmerenung,saja wajah merenung
atam,atap
kna,kena
istal,istal
gima,gima
singkatdan,singkat dan
pembeliannta,pembeliannya
gas,gas
acoun,akun
stuk,stuk
formasi,formasi
tiru,tiru
apapunthanks,apa pun terima kasih
2melipattanganwarnakulitcerah,baik
nnboxu,nnboxu
bdnbji,bdnbji
mbps,Mbps
ngedotlot,mengotot lot
bcaaidi,BCA ID
mlek,melek
supanya,supaya
kerna,karena
recehan,recehan
hutanjauh,hutang jauh
1gak,1 tidak
ajaperbaiki,saja perbaiki
kede,kedai
sejatra,sejahtera
senangterhadap,senang terhadap
dede,adik
haryanto,Haryanto
modelator,moderator
grup,grup
bandung,Bandung
jawa,Jawa
barat,Barat
perak,perak
aflikasi,aplikasi
150juta,150 juta
500juta,500 juta
vefry,februari
dipasang,dipasang
basiii,basi
sudahlah,sudahlah
nyasoal,nyasoal
rekwning,rekening
dimanakah,di manakah
babik,babi
posisiin,posisiin
ketulungan,ketulungan
jln,jalan
teims,terima kasih
halotelkomsel,halo telkomsel
terupdate,terbaru
anjayyy,anjay
smmending,sebaiknya
jugananggung,juga nanggung
banyakmasa,banyak masa
b8sa,bisa
barusudah,baru sudah
lainsaya,lain saya
dipakekadang,dipakai kadang
loi,loi
jempolkeatasoke,jempol ke atas oke
sbnr,sebenarnya
tpaksa,terpaksa
spp,SPP
rekomenden,rekomendasi
hidupka,hidupkah
restrat,restart
tomatis,otomatis
denga,dengan
sibuka,si buka
rosulullah,rasulullah
digures,digores
hbya,hanya
smsnyekek,smsnya kek
nyuri,mencuri
burukny,buruknya
kluarga,keluarga
trgantung,tergantung
gtw,gak tahu
uxnya,user experience-nya
soft,lunak
spa,spa
berprasangka,berprasangka
daftarnunggu,daftar tunggu
aplikasidengan,aplikasi dengan
gitumalah,begitu malah
parifikasinya,verifikasinya
tuhmales,tuh malas
sitem,sistem
halopasca,halo pascabayar
minn,admin
kereend,keren
palikasi,aplikasi
citibank,Citibank
csdatang,customer service datang
debat,debat
dwg,drawing
buntung,untung
kreditslik,kredit skoring
ojk,OJK
dungu,dungu
wajahlegahidungjempolkebawah,wajah lega hidung jempol ke bawah
membantulebih,membantu lebih
bosagar,bos agar
guru,guru
celengan,celengan
ayam,ayam
jeeelekkkkk,jelek
stel,setel
verifmuka,verifikasi muka
sulam,sulam
alis,alis
lagi²,lagi-lagi
10rbko,10 ribu
idr,IDR
nyablom,nyablom
kahidmasfira76,kahidmasfira76
ketolongan,ketulungan
najiss,najis
bangkai,bangkai
memproses,memproses
tersangkut,tersangkut
september,September
ngitungnya,menghitungnya
palak,kepala
cincong,cincang
xpress,ekspres
otista,Otista
masmasnya,mas-masnya
persiapan,persiapan
kedownload,terunduh
isiisiannya,isi-isiannya
mbambanya,mbak-mbaknya
pekerjaannya,pekerjaannya
approve²,diaprove
siapkan,siapkan
umpan,umpan
hadehhhhh,aduh
truk,truk
bangatt,bangat
masukloginya,masuk loginnya
jempolkeataswarnakulitcerahsedangokehatimerahmelipattangan,suka sekali
riskan,riskan
lowongan,lowongan
cyber,siber
crime,kejahatan
mengerikan,mengerikan
mikirin,memikirkan
sadari,sadari
wajahdiperbandikepalawajahdiperbandikepalawajahdiperbandikepalahantuhantu,kurang suka
periksa,periksa
emailbabibabi,email babi babi
uu,UU
ite,ITE
minggir,minggir
wajahtersenyumlebardanmemejamkanmatawajahgembiraberuraiairmatawajahgembiraberuraiairmatawajahgembiraberuraiairmata,gembira
masuk2saya,masuk-masuk saya
kejadiannya,kejadiannya
aduhhh,aduh
persen,persen
bukasaya,buka saya
mobiletolong,mobile tolong
perbaikiterima,perbaiki terima
agsts,Agustus
sendirinyaaneh,sendirinya aneh
bcadovelopernya,baca developernya
abaltolong,abal tolong
tercoreng,tercoreng
kasoh,kasih
ngechat,mengobrol
bb,BB
wajaha,wajah
2jm,2 jam
traksaksi,transaksi
kabanyakan,kebanyakan
seberat,seberat
beratnyamelipattangan,beratnya melipat tangan
banger,banget
apa2in,apa-apain
jkt,Jakarta
majulangi,maju lagi
b4,sebelum
persyaratannya,persyaratannya
10juta,10 juta
bahan,bahan
madahal,padahal
flexsibel,fleksibel
agt,anggota
dicabut,dicabut
lawack,lucu
pengaturannya,pengaturannya
yutubnya,YouTube-nya
pembyaran,pembayaran
kash,kasih
nyesal,menyesal
tautan,tautan
samperin,sambangi
±,sekitar
accwajahtersenyum,akses wajah tersenyum
kcpku,kecapku
langkah2,langkah-langkah
ketetangannya,keterangannya
agst,Agustus
marsalina,Marsalina
tefbana,tempat
selalau,selalu
atmbanksama,ATM bank sama
loginprosesnya,login prosesnya
peripikasi,verifikasi
perlahanlahan,perlahan-lahan
diruangan,di ruangan
dikirimkirim,dikirim-kirim
bagoooss,bagus
menyerupai,menyerupai
dimasalah,di masalah
allpelangipelangipelangipelangihatibenderamonakobenderamonakobenderamonakobenderamonako,gembira
cerita,cerita
pendinglalu,pending lalu
penerusan,penerusan
didenda,didenda
denda,denda
tdiny,tadi
teteppp,tetap
muncullll,muncul
memprotec,memproteksi
melindungi,melindungi
pakeribetbolak,pake ribet bolak
teruscoba,terus coba
updatemasih,update masih
jadilah,jadilah
goodjempolkeatasjempolkeatas,suka sekali
dituju,dituju
bangeett,banget
prbarui,perbarui
haruss,harus
olok,ejek
sayangkanwajahmengembuskannapas,capek
pecahan,pecahan
uangny,uangnya
masuknyaverifikasi,masuknya verifikasi
katanyalucu,katanya lucu
rusakdiganti,rusak diganti
digitaltrus,digital terus
dikinikan,dikinikan
ngmng,ngomong
jan,Januari
buanv,bulan
nihkacau,ini kacau
bacot,omong
pwd,kata sandi
sijidjari,sidik jari
diaksesoops,diakses
wifibelum,Wi-Fi belum
nyakenapa,nya kenapa
callnah,telepon
pinmalah,PIN malah
jelasdan,jelas dan
kmbli,kembali
lagipas,lagi pas
sekalijadi,sekali jadi
nyaapalagi,nya apalagi
perbaikiterimakasih,perbaiki terima kasih
toup,top up
pembeli,pembeli
kadaluwarsa,kedaluwarsa
langsungwajahtanpaekspresi,biasa saja
reaet,reset
elah,alah
daftarny,daftarnya
tampilanan,tampilan
uai,UI
fingergak,jari tidak
totlah,total
kuontool,akun
aktfs,aktif
kkantor,kantor
syaifulrahim,Syaiful Rahim
al,Al
mengribet,mengurusi
emailemailnya,emailnya
aktivasitp,aktivasi tapi
loginaplikasi,login aplikasi
mood,suasana hati
dluan,duluan
ngeloadnya,memuatnya
stroom,stroom
seblah,sebelah
rampok,perampok
kab,kabupaten
aplikcasion,aplikasi
layanin,layani
begongabisin,bodoh habisin
fatkululum,Fatkul Ulum
satset,cepat
aplikasimya,aplikasinya
tololudah,tolol sudah
burekg,buruk
isnot,bukan
pemegang,pemegang
hallopasca,halo pasca
mntep,mantap
wajahdenganmataberputar,capek
riber,ribet
lanjay,lancar
nyobawajahbermasker,biasa saja
1apk,1 aplikasi
unggulan,unggulan
sektor,sektor
pss,pusat
ngatik,mengatur
penampilannya,penampilannya
sadap,sadar
kureng,kurang
kitanya,kita
beberaoa,beberapa
nitifikasi,notifikasi
meluky,menyakitkan
rekeningmulti,rekening multi
mendaftatkan,mendaftarkan
ie,Internet Explorer
diperzulit,dipersulit
hadiah,hadiah
kereta,kereta
nengo,dengar
rewards,hadiah
panjang2,panjang
deploper,pengembang
ngonolo,menggila
maseee,masa
disinkronkan,disinkronkan
51rb,51 ribu
kotakabupatennya,kota kabupatennya
lgkp,lengkap
apaperusaan,apa perusahaan
apajalannya,apa jalannya
apakalau,apabila
orangapakah,orang apakah
bcasipersulit,bisa dipersulit
trimaksih,terima kasih
blog,blog
cman,cuma
andalin,andalkan
bcawajahtanpaekspresi,biasa saja
hanyak,hanya
ketutup,tertutup
serving,servis
3xinfo,3x info
aktifmau,aktif mau
lagibuang²,lagi buang-buang
cokk,cok
buatan,buat
cuiihh,cuih
kreditpun,kredit pun
termanjakan,termanja
callcenter,pusat panggilan
sampingan,sampingan
jamet,jamet
pemiskinan,pemiskinan
join,gabung
sampai2,sampai-sampai
revisi,revisi
kembalimau,kembali mau
onlineudah,online sudah
semuapas,semua pas
muluhp,muluh p
berlulang,berulang
permah,pernah
smslogon,sms logon
tangandiangkatdandirapatkanbersama,terima kasih
kacaulah,kacau lah
ttl,ttl
gasesuai,tidak sesuai
praktiss,praktis
buatin,buatkan
menitnya,menitnya
sbelumnya,sebelumnya
suguhkan,suguhkan
esensi,esensi
kelengkapannya,kelengkapannya
peranti,peranti
dst,dst
bisapulsa,bisa pulsa
bangatparahh,banget parah
scam,penipuan
𝙻𝙰𝚈𝙰𝙽𝙰𝙽,layanan
𝙰𝙿𝙺,aplikasi
𝙸𝙽𝙸,ini
𝙺𝙰𝙲𝙰𝚄𝚄𝚄𝚄,kacau
𝙺𝙰𝙻𝙾,kalau
𝚅𝙸𝚃𝚄𝚁,fitur
𝙾𝙺,oke
𝚃𝙰𝙿𝙸,tapi
𝚃𝙸𝙰𝙿,tiap
𝙺𝙰𝙻𝙸,kali
𝙼𝙰𝚂𝚄𝙺,masuk
𝚂𝙴𝙻𝙰𝙻𝚄,selalu
𝙱𝙴𝚁𝙼𝙰𝚂𝙰𝙻𝙰𝙷,bermasalah
𝚂𝙼𝚂,sms
𝙵𝙴𝚁𝙸𝚅𝙸𝙺𝙰𝚂𝙸,verifikasi
𝚂𝙰𝙼𝙿𝙰𝙸,sampai
𝙿𝙻𝚂𝙰,pulsa
𝙷𝙰𝙱𝙸𝚂,habis
40𝙺,40k
𝚃𝚃𝙿,tetap
𝙱𝙸𝚂𝙰,bisa
𝙰𝙳𝙰,ada
𝙱𝙻𝙰𝚂𝙰𝙽,balasan
𝙷𝙿,hp
𝙳,di
𝚂𝙴𝚃𝙸𝙽𝙶,setel
𝚄𝙻𝙰𝙽𝙶,ulang
𝙼𝙰𝙻𝙰𝙷,malah
𝙶𝙴𝚁𝙰𝙸𝙽𝚈𝙰,gerainya
𝙻𝙰𝙽𝙶𝚂𝚄𝙽𝙶,langsung
𝚂𝙸𝙼,sim
𝙼𝙰𝚂𝙰𝙻𝙰𝙷,masalah
𝚃𝙻𝙿,telepon
𝙲𝚂,cs
𝙹𝙰𝚆𝙰𝙱𝙰𝙽𝙽𝚈𝙰,jawabannya
𝚂𝙰𝙼𝙰,sama
𝚂𝙾𝙻𝚄𝚂𝙸,solusi
𝙳𝙰𝚃𝙰𝙽𝙶,datang
𝙲𝙰𝙱𝙰𝙽𝙶,cabang
𝙿𝙴𝚁𝙲𝚄𝙼𝙰,percuma
biasahatiberdetak,biasa hati berdetak
proloogggg,prolog
iloveu,saya cinta kamu
attitude,sikap
ilang²,hilang-hilang
gasabaran,tidak sabaran
bestt,terbaik
laa,lah
regristrasinya,registrasinya
persulitt,persulit
ajng,anjing
keluar2,keluar-keluar
padhahal,padahal
ribetabis,ribet habis
smsjangan,sms jangan
mantappulsa,mantap pulsa
adakayak,ada kayak
onlinesudah,online sudah
datangtertawaterbahakbahaktertawaterbahakbahaktertawaterbahakbahakada2,tertawa
cuanbagi,cuan bagi
batuan,bantuan
sarankarna,saran karena
sia2mybca,sia-sia mybca
atasjadi,atas jadi
sampul,sampul
segara,segera
perbaikiwajahtersenyumdenganairmatamelipattangan,oke
kecewaa,kecewa
ktinggakan,ketinggalkan
jglain,jangan lain
mencopot,mencopot
membersihkan,membersihkan
pakaidan,pakaian dan
bermingguminggu,berminggu-minggu
welmanya,wilayahnya
jelk,jelas
jelassetiap,jelas setiap
tertawaterbahakbahakisyaratkemenangan,tertawa
opppppsssss,ups
menyebalkanwajahtersenyumlebardanberkeringat,benci
meneruskan,meneruskan
anjg,anjing
bgsd,bangsat
diandalkan,diandalkan
club,klub
ribetbikin,ribet bikin
gagalskli,gagal sekali
dibuatverifikasiny,dibuat verifikasinya
gagalsdh,gagal sudah
fto,foto
verifikasitulisanny,verifikasi tulisannya
terdekatjempolkebawahjempolkebawahjempolkebawahjempolkebawahjempolkebawah,benci
kelar²,kelar-kelar
bukain,bukakan
bgtusetingan,begitu setelan
setingan,setelan
dablekbenerin,dableg benerin
notifnyalulusan,notifikasinya lulusan
nomina,nomina
nilain,nilainya
hadehhhhhh,haduh
sampahbolak,sampah bolak
verifikasiknapa,verifikasi kenapa
sajaribet,saja ribet
periv,perih
maaaaaceeett,macet
frevikasi,verifikasi
